fecha,seccion,apartado,referencia,empresa,texto,url
20260821,A,BARCELONA,387490,YACHTING VENTURE S.L,"Revocaciones. ADM.UNICO: ROSA DEL GAUDIO. LIQUIDADOR: ROSA DEL GAUDIO. Nombramientos. LIQUIDADOR: ROSA DEL GAUDIO. Extinción.  Datos registrales. S 8 , H B 548268, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387492,BEMACAL DE TOT SL,"Revocaciones. ADM.UNICO: DE LUIS JIMENEZ JOSE ALEJANDRO. Otros conceptos: SECCION MERCANTIL TI BARCELONA.P.2,PROCEDIMIENTO ESPECIAL DE LIQUIDACION 323/2024, AUTOS FIRMES 03/09/2024 Y 23/07/2026, APERTURA Y CONCLUSION DEL PROCEDIMIENTO ESPECIAL DE LIQUIDACION PARA MICROEMPRESAS PREVISTO EN LA LEY CONCURSAL. Extinción.  Datos registrales. S 8 , H B 427290, I/A 4 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387493,GROC LLAR SL,"Otros conceptos: SECCION MERCANTIL TI BARCELONA.PLAZA 2.CONCURSO VOLUNTARIO 1619/2025, AUTO FIRME DE FECHA 16/04/2026, DECLARACION DE CONCURSO VOLUNTARIO;AUTO FIRME 20/07/2026,CONCLUSION DE CONCURSO Y CIERRE PROVISIONAL DE LA HOJA REGISTRAL.  Datos registrales. S 8 , H B 401051, I/A 10 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387496,DOOFITS S.L,"Revocaciones. ADM.SOLIDAR.: GOMEZ PORRAS PABLO;MORAN CARRO ISMAEL;MORALES PRIETO AURELIO ANTONIO. LIQUIDADOR: MORAN CARRO ISMAEL. Nombramientos. LIQUIDADOR: MORAN CARRO ISMAEL. Extinción.  Datos registrales. S 8 , H B 529635, I/A 5 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387501,CVC GRUPO CONSEJEROS SL,"Revocaciones. ADM.UNICO: VILARRUBI CARRIO CARLES. LIQUIDADOR: VILARRUBI I JORDA EDUARD. Nombramientos. LIQUIDADOR: VILARRUBI I JORDA EDUARD. Extinción.  Datos registrales. S 8 , H B 43061, I/A 31 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387508,GINARPRADOS SL,"Revocaciones. ADM.SOLIDAR.: PRATS ESTRADERA NARCISO. Fusión por absorción. Sociedades absorbidas: JORNARPRADOS SL.  Datos registrales. S 8 , H B 186010, I/A 16 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387509,JORNARPRADOS SL,"Revocaciones. ADM.SOLIDAR.: PRATS ESTRADERA NARCISO. Extinción.  Datos registrales. S 8 , H B 337028, I/A 8 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387516,"MY HOME, MY KINGDOM S.L","Revocaciones. ADM.SOLIDAR.: DE MARCOS HIDALGO LAURA;JIMENEZ DE MARCOS RAUL. LIQUIDADOR: DE MARCOS HIDALGO LAURA. Nombramientos. LIQUIDADOR: DE MARCOS HIDALGO LAURA. Extinción.  Datos registrales. S 8 , H B 566127, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387522,GOLDEN PANTONE S.L,"Revocaciones. ADM.SOLIDAR.: ZAMORA CASTILLO CRISTIAN;BALSA FERNANDEZ GONZALO. LIQUIDADOR: BALSA FERNANDEZ GONZALO;ZAMORA CASTILLO CRISTIAN. Nombramientos. LIQUIDADOR: BALSA FERNANDEZ GONZALO;ZAMORA CASTILLO CRISTIAN. Extinción.  Datos registrales. S 8 , H B 630419, I/A 2 (14.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,A,BARCELONA,387524,CITRIC MULTIMEDIA SL,"Revocaciones. ADM.UNICO: VILA MASSAGUE ANA. Nombramientos. LIQUIDADOR: MARTORI RIGOL MARTI. Disolución. Voluntaria.  Datos registrales. S 8 , H B 189548, I/A 8 (15.08.26).",https://www.boe.es/diario_borme/xml.php?id=BORME-A-2026-161-08
20260821,C,FUSIONES Y ABSORCIONES DE EMPRESAS,BORME-C-2026-4794,"CLASSTRUCKS SPAIN, S.L.U. 
(SOCIEDAD ABSORBENTE) 
CLASS TRUCKS IBERIA, S.L.U. 
(SOCIEDAD ABSORBIDA)",,https://www.boe.es/diario_borme/xml.php?id=BORME-C-2026-4794
